R
2.8627417812700633e-06
3.2025270936954142e-06
3.412039353289995e-06
4.571905052130922e-06
3.26953786949022e-06
1.447682539594916e-06
2.3976004711922484e-06
1.958953434761358e-06
1.5146673769449672e-06
2.8966733502217814e-06
4.572073500693687e-06
2.2999034845871515e-06
2.953959153231804e-06
3.7938285276005746e-06
4.7983256148483325e-06
3.354525289622584e-06
1.2282705943314504e-06
1.4654201075916078e-06
3.0754053602397393e-06
2.0629345505441974e-06
4.012138650770242e-06
