R
7628.15
7250.56
6746.46
9857.14
6683.77
8406.78
7722.36
9231.48
7476.19
9224.48
7409.41
7792.27
5605.11
6685.88
9152.08
8444.44
8620.69
8406.78
8361.4
6509.06
9173.26
