R
42533.0
16647.0
15049.0
3899.0
13082.0
11742.0
39626.0
9224.0
8699.0
2970.0
13484.0
20006.0
10846.0
38131.0
23429.0
6755.0
21807.0
11742.0
4090.0
31642.0
6213.0
